WKT;ID;SPANNINGSN
"POINT (52.2919478596825 6.56983661248766)";396975.0000000000;MS
"POINT (52.3607473635107 6.52530734486767)";396979.0000000000;MS
"POINT (52.1764064180637 6.74175016657939)";396547.0000000000;MS
"POINT (51.7268047089471 5.43387817386358)";396476.0000000000;MS
"POINT (52.3323604895438 6.55434369289368)";396981.0000000000;MS
"POINT (52.5789810987522 6.6366162919388)";372270.0000000000;MS
"POINT (51.2504090096048 5.71529313723767)";404790.0000000000;MS
"POINT (52.2597364023909 6.45853652272406)";396491.0000000000;MS
"POINT (52.5109195772696 6.57347024968306)";372170.0000000000;MS
"POINT (52.5706047138222 6.59570527373177)";372233.0000000000;MS
"POINT (52.4977313725096 6.67697946372885)";372242.0000000000;MS
"POINT (52.7687143621862 6.23690092748354)";372476.0000000000;MS
"POINT (52.7182641982997 6.57252632604244)";372543.0000000000;MS
"POINT (52.7210287576277 6.5336656299477)";372544.0000000000;MS
"POINT (51.6802323664711 5.05625180581038)";400345.0000000000;MS
"POINT (52.7347456005286 6.71893767470878)";372557.0000000000;MS
"POINT (51.5457790992981 4.47367907204102)";410271.0000000000;MS
"POINT (52.324149204413 6.5897239702747)";397068.0000000000;MS
"POINT (52.307627793372 6.58411982430475)";397075.0000000000;MS
"POINT (51.7421564733557 5.45786482508218)";397281.0000000000;MS
